query11.log,9:35.38
query12.log,0:01.26
query13.log,0:20.15
query15.log,0:18.63
query16.log,0:16.11
query17.log,0:06.06
query18.log,0:19.51
query19.log,0:00.54
query1.log,44:10.70
query20.log,0:01.72
query21.log,0:01.42
query22.log,1:04.25
query23.log,4:26.62
query24.log,0:27.73
query25.log,0:02.77
query26.log,0:19.50
query27.log,0:41.82
query28.log,0:22.25
query29.log,0:02.16
query2.log,0:21.99
query30.log,0:15.27
query31.log,2:09.59
query32.log,0:02.51
query33.log,0:24.33
query34.log,0:32.66
query36.log,0:31.36
query37.log,0:00.71
query38.log,0:46.59
query39.log,0:25.42
query3.log,0:00.03
query40.log,0:00.71
query41.log,0:15.61
query42.log,0:00.23
query43.log,0:14.59
query44.log,0:13.57
query45.log,0:04.31
query46.log,0:30.49
query47.log,1:04.07
query48.log,0:11.54
query49.log,0:01.79
query4.log,12:13.86
query50.log,0:01.18
query51.log,0:53.66
query52.log,0:00.35
query53.log,0:01.00
query54.log,1:39.12
query55.log,0:00.18
query56.log,0:00.99
query57.log,0:53.82
query58.log,0:20.24
query59.log,0:31.54
query60.log,0:04.44
query61.log,0:03.07
query62.log,0:08.81
query63.log,0:00.99
query64.log,0:04.25
query65.log,0:44.93
query66.log,0:07.19
query67.log,0:44.69
query68.log,0:12.46
query69.log,0:24.96
query6.log,12:42.97
query70.log,0:39.29
query71.log,0:22.48
query72.log,0:18.27
query73.log,0:30.69
query74.log,2:22.71
query75.log,0:14.20
query76.log,0:09.50
query77.log,0:36.63
query78.log,1:59.82
query79.log,0:25.97
query7.log,0:34.17
query80.log,0:02.71
query81.log,0:13.12
query82.log,0:00.99
query83.log,0:02.60
query84.log,0:01.09
query85.log,0:01.93
query86.log,0:03.88
query87.log,0:30.65
query88.log,2:08.57
query89.log,0:03.67
query8.log,0:27.00
query90.log,0:06.12
query91.log,0:00.78
query92.log,0:00.59
query93.log,0:00.68
query94.log,0:03.67
query95.log,0:45.83
query96.log,0:05.70
query97.log,0:44.35
query98.log,0:04.12
query99.log,0:17.69
query9.log,0:28.82
