query11.log,8:49.42
query12.log,0:01.21
query13.log,0:08.53
query15.log,0:17.75
query16.log,0:15.95
query17.log,0:06.27
query18.log,0:19.22
query19.log,0:00.54
query1.log,43:56.97
query20.log,0:01.91
query21.log,0:01.58
query22.log,0:23.32
query23.log,4:20.95
query24.log,0:25.77
query25.log,0:02.64
query26.log,0:19.57
query27.log,0:41.16
query28.log,0:21.64
query29.log,0:02.15
query2.log,0:21.55
query30.log,0:15.94
query31.log,2:06.83
query32.log,0:02.43
query33.log,0:23.65
query34.log,0:32.46
query36.log,0:31.22
query37.log,0:00.58
query38.log,0:46.24
query39.log,0:25.11
query3.log,0:00.03
query40.log,0:00.69
query41.log,0:15.50
query42.log,0:00.21
query43.log,0:14.33
query44.log,0:13.30
query45.log,0:04.23
query46.log,0:29.84
query47.log,1:03.09
query48.log,0:11.65
query49.log,0:01.75
query4.log,11:54.68
query50.log,0:01.15
query51.log,0:51.48
query52.log,0:00.34
query53.log,0:00.88
query54.log,1:39.06
query55.log,0:00.18
query56.log,0:00.97
query57.log,0:54.08
query58.log,0:23.20
query59.log,0:34.82
query60.log,0:05.17
query61.log,0:03.23
query62.log,0:08.77
query63.log,0:01.00
query64.log,0:04.22
query65.log,0:44.92
query66.log,0:06.89
query67.log,0:42.87
query68.log,0:12.20
query69.log,0:20.31
query6.log,12:49.88
query70.log,0:37.73
query71.log,0:20.98
query72.log,0:17.48
query73.log,0:30.42
query74.log,2:20.27
query75.log,0:14.35
query76.log,0:09.53
query77.log,0:31.82
query78.log,2:01.42
query79.log,0:25.63
query7.log,0:37.03
query80.log,0:02.93
query81.log,0:14.12
query82.log,0:01.05
query83.log,0:02.59
query84.log,0:01.00
query85.log,0:01.93
query86.log,0:04.08
query87.log,0:29.00
query88.log,2:08.04
query89.log,0:03.66
query8.log,0:26.96
query90.log,0:05.76
query91.log,0:00.68
query92.log,0:00.58
query93.log,0:00.66
query94.log,0:03.63
query95.log,0:45.09
query96.log,0:05.61
query97.log,0:43.57
query98.log,0:04.10
query99.log,0:17.37
query9.log,0:28.01
